titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
administrador de contrato servicio instrumentación geomecánica,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,187
administrador de contrato – servicio de administración y operación bodega minería,administrador de contrato – servicio de administración y operación bodega minería,Presencial,Full time,Otros,No especificado,False,False,152
administrador de contrato — seguridad minera,"empresa confidencial, antofagasta",Presencial,Full time,Otros,No especificado,True,False,89
"administrador de contrato, calama",empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,137
administrador de contratos – proyecto eléctrico (la serena),grafton recruitment chile,Presencial,Full time,Otros,No especificado,False,False,153
administrador de contrato,5s consultores,Presencial,Otro,Otros,No especificado,False,False,121
administrador de contrato,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,37
administrador de fincas: gestión de pagos y mantenimiento,cronoshare.cl,Presencial,Full time,Otros,No especificado,False,False,153
administrador de networking tipo 3,administrador de networking tipo 3,Remoto,Full time,TI General,No especificado,False,True,141
administrador de obra (proyecto industrializado) - rm,ebco,Presencial,Otro,Otros,No especificado,False,False,136
administrador de propiedades,"empresa confidencial, santiago",Presencial,Full time,Otros,No especificado,False,False,100
administrador de sistemas junior - contrato indefinido - presencial,perceptual consultores,Presencial,Otro,TI General,Junior,True,False,185
administrador de sistemas junior,administrador de sistemas junior,Presencial,Full time,TI General,Junior,True,False,138
administrador de sistemas y seguridad informática,administrador de sistemas y seguridad informática,Remoto,Full time,TI General,No especificado,True,True,153
administrador de contrato - carguío y transporte zona centro - copia,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
administrador de contrato - experiencia obras…,"ingenet ltda, valparaíso",Presencial,Full time,Data / BI,No especificado,False,False,101
administrador de contrato mantenimiento de equipos…,"empresa de servicios mineros,.., antofagasta",Presencial,Full time,Otros,No especificado,False,False,105
administrador de contrato,administrador de contrato,Presencial,Full time,Otros,No especificado,False,False,76
administrador logístico,"transportes, punta arenas",Presencial,Full time,Otros,No especificado,False,False,102
administrador/a de contrato – servicios de administración y logística,global talent,Presencial,Full time,Otros,No especificado,False,False,153
administrador/a de contrato,administrador/a de contrato,Presencial,Full time,Otros,No especificado,False,False,89
administrador/a de proyectos (la serena),mallplaza chile,Presencial,Full time,Otros,No especificado,False,False,144
administrativa contable,administrativa contable,Presencial,Full time,Otros,No especificado,False,False,146
"administrativa de administración de personal y remuneraciones, concepción","administrativa de administración de personal y remuneraciones, concepción",Presencial,Full time,Otros,No especificado,False,False,153
"administrativa de administración de personal y remuneraciones, puerto montt","administrativa de administración de personal y remuneraciones, puerto montt",Presencial,Full time,Otros,No especificado,False,False,153
administrativo (a) de bodega (maquinaria pesada / mineria),administrativo (a) de bodega (maquinaria pesada / mineria),Presencial,Full time,Data / BI,No especificado,False,False,111
administrativo - providencia,achs servicios,Híbrido,Full time,Otros,No especificado,False,False,197
administrativo afp,empresa destacada,Híbrido,Full time,Otros,No especificado,False,False,37
administrativo centros recreacionales y deportivo (área…,"importante empresa, santiago",Presencial,Full time,Otros,No especificado,False,False,104
administrativo comercio exterior,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,40
administrativo contable (la serena),hotel club la serena,Presencial,Full time,Otros,No especificado,False,False,139
administrativo informático - santiago,corporación administrativa del poder judicial,Presencial,Otro,Otros,No especificado,True,False,171
administrativo logístico y compras / técnico en logística o técnico en administración /lampa,administrativo logístico y compras / técnico en logística o técnico en administración /lampa,Presencial,Full time,Otros,No especificado,False,False,153
administrativo recursos humanos,"buses jm, calama",Presencial,Full time,Recursos Humanos,No especificado,False,False,81
administrativo servicios operaciones,alsea colombia,Híbrido,Full time,Otros,No especificado,False,False,203
administrativo atención clientes antofagasta,"industria antofagasta, antofagasta",Presencial,Full time,Otros,No especificado,False,False,90
administrativo de bodega senior la serena,entel connect center,Presencial,Full time,Otros,Senior,False,False,151
administrativo de cobranza - la serena turno pm,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,143
