titulo,empresa,modalidad,tipo_horario_norm,categoria,nivel_seniority,es_ti,es_remoto,largo_descripcion
jefe/a de finanzas,"importante empresa metalmecánica, santiago",Presencial,Full time,Otros,Senior,False,False,112
jefe/a de innovación y tecnología sucursal komatsu lo boza,empresa destacada,Presencial,Full time,Otros,Senior,True,False,33
jefe/a de sala de ventas - inmobiliaria - rm,empresa confidencial,Presencial,Otro,Data / BI,Senior,False,False,169
jefe/a de sección de estrategia - ciberseguridad,banco de chile,Presencial,Full time,Data / BI,Senior,True,False,153
jefe/a de servicios para la construcción proyecto minero,buffer chile,Presencial,Otro,Otros,Senior,False,False,158
jefe/a de ventas pps – lidera retail y equipos,walmart chile,Presencial,Full time,Ventas / Comercial,Senior,False,False,147
"jefe/a de ventas pps la serena, formato lider",walmart chile,Presencial,Full time,Ventas / Comercial,Senior,False,False,145
"jefe/a de ventas, full time, falabella la serena",falabella la serena,Presencial,Full time,TI General,Senior,False,False,153
jefe/a de administración y finanzas,importante empresa del sector,Presencial,Full time,Otros,Senior,False,False,131
jefe/a de administración y finanzas,jefe/a de administración y finanzas,Presencial,Full time,Otros,Senior,False,False,153
jefe/a de tienda ferretera (puerto montt),jefe/a de tienda ferretera (puerto montt),Presencial,Full time,TI General,Senior,False,False,112
jefe/a de tienda ferretera (puerto montt/puerto varas),jefe/a de tienda ferretera (puerto montt/puerto varas),Presencial,Full time,TI General,Senior,False,False,125
joven profesional de administración,corteva agriscience,Presencial,Full time,Otros,No especificado,False,False,139
joven profesional de administración,"corteva, inc.",Presencial,Full time,Otros,No especificado,False,False,133
jr sales executive,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
junior administrativo,junior administrativo,Presencial,Full time,Otros,Junior,False,False,127
junior growth marketer (ai & cloud native),no especificada,Híbrido,Full time,DevOps / Cloud,Junior,True,False,24
junior de sucursal mk- la serena,grupo k,Presencial,Full time,Otros,Junior,False,False,120
"junior de sucursal: diseño, decoración y ventas",grupo k,Presencial,Full time,Ventas / Comercial,Junior,False,False,143
kam - minería,empresa destacada,Híbrido,Full time,Otros,No especificado,False,False,30
"kam senior - experiencia rubro salud, aseguradoras o isapres",clinica santa maria s.a,Presencial,Otro,Data / BI,Senior,True,False,187
kam de ventas,"corretaje propiedades, santiago",Presencial,Full time,Ventas / Comercial,No especificado,False,False,70
key account manager (kam),no especificada,Remoto,Full time,Otros,No especificado,False,True,24
key account manager - construcción e inmobiliario,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,35
key account manager - trade marketing en punto de venta,ecr group,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
key account manager b2b/ iot,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
key account manager empresa de transporte de pasajeros.,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
kinesiólogo(a) ergónomo(a) reemplazo / proyecto minero la serena,mutual de seguridad c.ch.c.,Presencial,Otro,Otros,No especificado,False,False,167
krossbar concepción esta en búsqueda de…,"krossbar concepción, concepción",Presencial,Full time,Otros,No especificado,False,False,94
la serena– ejecutivo de ventas en terreno prosales – distribuidor autorizado,pro-sales / telecomunicaciones,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
lider catalogo digital,verbum servicios psicológicos ltda,Presencial,Otro,Otros,No especificado,True,False,165
lider de tienda mall mirador bio…,"empresa de retail /.., concepción",Presencial,Full time,TI General,No especificado,False,False,95
lider de tienda mall plaza antofagasta,"empresa de retail /.., antofagasta",Presencial,Full time,TI General,No especificado,False,False,95
lider de tienda patio outlet temuco,"empresa de retail /.., temuco",Presencial,Full time,TI General,No especificado,False,False,95
la serena/ ejecutivo omnicanal (reemplazo) / lider bci,lider bci,Presencial,Otro,Otros,No especificado,False,False,134
las mejores campañas de salud - ejecutivos de venta de seguros,empresa destacada,Híbrido,Full time,Salud,No especificado,True,False,28
lead acquisition coordinator,no especificada,Híbrido,Full time,Otros,Senior,False,False,24
lead qa,no especificada,Híbrido,Full time,QA / Testing,Senior,True,False,24
lider aseguramiento calidad,"empresa productiva renca, santiago",Presencial,Full time,QA / Testing,No especificado,True,False,94
lider tecnico ( lider de células ) contrato indefinido,lider tecnico ( lider de células ) contrato indefinido,Presencial,Full time,Otros,No especificado,True,False,153
lider de contabilidad chile,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
liquidador área construcción,empresa destacada,Híbrido,Full time,Otros,No especificado,False,False,35
liquidador- evaluador de seguros de salud,empresa destacada,Remoto,Full time,Salud,No especificado,True,True,28
live events data analyst (latam),no especificada,Remoto,Full time,Data / BI,No especificado,True,True,24
logistica / administración,constructora acacia,Presencial,Full time,Otros,No especificado,False,False,103
líder académico de carrera - ingeniería en administración,universidad san sebastián,Presencial,Full time,Otros,No especificado,False,False,153
líder estratégico de ciberseguridad,banco de chile,Presencial,Full time,Otros,No especificado,True,False,131
líder financiero - la serena,michael page internacional ltda,Presencial,Otro,Otros,No especificado,False,False,133
líder regional de finanzas públicas,junta nacional de jardines infantiles,Presencial,Full time,Otros,No especificado,False,False,153
líder regional en administración y finanzas,energia,Presencial,Full time,Otros,No especificado,False,False,129
líder sre operaciones,seguros sura,Presencial,Full time,DevOps / Cloud,No especificado,True,False,107
líder tic estratégico – ingeniería informática hospitalaria,energia,Presencial,Full time,TI General,No especificado,True,False,153
líder técnico - desarrollo de software php/laravel,perceptual consultores,Presencial,Full time,Desarrollo / Dev,No especificado,True,False,153
líder técnico - soluciones software ágiles y escalables,confidencial,Presencial,Full time,Desarrollo / Dev,No especificado,True,False,153
líder técnico desarrollo,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
líder técnico informático senior (senior tech lead),líder técnico informático senior (senior tech lead),Remoto,Full time,Otros,Senior,True,True,153
líder técnico senior - arquitecto de soluciones en la nube,banco de chile,Presencial,Full time,Otros,Senior,False,False,153
líder técnico senior | arquitecto de plataformas,grupo falabella,Presencial,Full time,Otros,Senior,False,False,153
líder técnico senior,banco de chile,Presencial,Full time,Otros,Senior,False,False,101
líder técnico senior,grupo falabella,Presencial,Full time,Otros,Senior,False,False,102
líder técnico de desarrollo (cloud microservicios),líder técnico de desarrollo (cloud microservicios),Remoto,Full time,DevOps / Cloud,No especificado,True,True,153
líder técnico en arquitectura de soluciones cloud,energia,Presencial,Full time,DevOps / Cloud,No especificado,True,False,152
líder técnico,acl,Presencial,Full time,Otros,No especificado,False,False,76
líder técnico,confidencial,Presencial,Full time,Otros,No especificado,False,False,93
líder técnico,energia,Presencial,Full time,Otros,No especificado,False,False,80
líder técnico,líder técnico,Remoto,Full time,Otros,No especificado,False,True,153
líder de administración y existencias - retail,fashion's park,Presencial,Full time,Otros,No especificado,False,False,138
líder de administración y finanzas en educación,procesum consultores gerenciales ltda.,Presencial,Full time,Otros,No especificado,False,False,153
líder de administración y finanzas: impacto estratégico,global talent,Presencial,Full time,Otros,No especificado,False,False,153
líder de cafetería,líder de cafetería,Presencial,Full time,Otros,No especificado,False,False,113
líder de carrera en administración pública,universidad san sebastián,Presencial,Full time,Otros,No especificado,False,False,147
líder de cocina,torta caluga pastelería,Presencial,Otro,Otros,No especificado,False,False,126
líder de enlace de procesos clínicos e informáticos,energia,Presencial,Full time,Otros,No especificado,True,False,143
líder de equipo - administración y finanzas,cinépolis,Presencial,Full time,Otros,No especificado,False,False,133
líder de equipo multicanal: ventas y desarrollo,¡únete al equipo decathlon!,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
líder de finanzas y administración (santiago),puelche hc,Presencial,Full time,Otros,No especificado,False,False,132
líder de finanzas y administración estratégica,sercomed,Presencial,Full time,Otros,No especificado,False,False,132
líder de finanzas y administración | gestión y control,atcom chile,Presencial,Full time,Otros,No especificado,False,False,151
líder de finanzas y administración | impulsa resultados,importante empresa del sector,Presencial,Full time,Otros,No especificado,False,False,153
líder de finanzas y administración – construcción (hybrid),puelche hc,Presencial,Full time,Otros,No especificado,False,False,153
líder de finanzas y administración – estrategia y gestión,confidencial,Presencial,Full time,Data / BI,No especificado,False,False,153
líder de finanzas y administración – estrategia,puelche hc,Presencial,Full time,Otros,No especificado,False,False,144
líder de finanzas y administración,prinorte s.a.,Presencial,Full time,Otros,No especificado,False,False,119
"líder de finanzas, tesorería y administración",perceptual consultores,Presencial,Full time,Otros,No especificado,False,False,144
"líder de gestión, administración y procesos",corfo,Presencial,Full time,Otros,No especificado,False,False,117
"líder de informática: erp, migraciones y seguridad",comercial escocia,Presencial,Full time,Otros,No especificado,True,False,153
líder de nómina y administración multisite,mercadolibre,Presencial,Full time,Otros,No especificado,False,False,128
líder de operaciones de alimentación,newrest chile,Presencial,Full time,Otros,No especificado,False,False,134
líder de operaciones de alimentos,newrest chile,Presencial,Full time,Otros,No especificado,False,False,128
líder de payroll y administración de personal,capstone copper chile,Presencial,Full time,Otros,No especificado,False,False,143
líder de proyectos retail | construcción y ejecución,mallplaza chile,Presencial,Full time,Otros,No especificado,False,False,153
líder de proyectos ti / it project manager,no especificada,Híbrido,Full time,TI General,No especificado,True,False,24
líder de proyectos,no especificada,Presencial,Full time,Otros,No especificado,False,False,24
líder de puesta en marcha de clientes (project manager),no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
líder de seguridad informática | gestión de riesgos,newrest chile,Presencial,Full time,Otros,No especificado,True,False,150
líder de servicios y operaciones de flota,vertical hunter,Presencial,Full time,Otros,No especificado,False,False,146
"líder de sistemas informáticos (proyecto 29 meses, presencial)",uchile - facultad ciencias fisicas matematicas,Presencial,Full time,TI General,No especificado,True,False,153
líder de sistemas informáticos y plataforma sic,cyd ingeniería,Presencial,Full time,TI General,No especificado,True,False,142
líder de sistemas informáticos | bases de datos y redes,applus en chile,Presencial,Full time,TI General,No especificado,True,False,153
líder de soporte it y automatización de procesos,tigo venezuela,Presencial,Full time,Otros,No especificado,True,False,153
líder de sucursal de ventas – la serena,ducasse comercial,Presencial,Full time,Ventas / Comercial,No especificado,False,False,137
líder de ti hospitalaria | jefe de unidad de informática,corfo,Presencial,Full time,Data / BI,Senior,True,False,152
líder de trade marketing en campo,ecrgroup®️,Presencial,Full time,Otros,No especificado,False,False,125
"líder de turno — restaurante (part-time, 30 hrs)",g&n brands,Presencial,Full time,Otros,No especificado,False,False,153
líder de ventas regional para aragua,tigo venezuela,Presencial,Full time,Ventas / Comercial,No especificado,False,False,128
"líder de ventas retail | crecimiento, liderazgo y beneficios",calper,Presencial,Full time,Ventas / Comercial,No especificado,False,False,153
líder de ventas en ruta con cobertura,tawa,Presencial,Full time,Ventas / Comercial,No especificado,False,False,127
líder de contabilidad,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,35
líder de tienda en retail / la serena,importante empresa del sector,Presencial,Full time,TI General,No especificado,False,False,152
maestro armador estructuras metalicas,"europer spa, santiago",Presencial,Full time,Otros,No especificado,False,False,120
maestro de cocina,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
mecanico automotriz,inmobiliaria e inversiones del sol ltda.,Presencial,Otro,Otros,No especificado,False,False,148
mecanico maquinarias pesadas para antofagasta,"gna, antofagasta",Presencial,Full time,Otros,No especificado,False,False,90
mecánico automotriz - faena maria elena,"grandleasing spa, antofagasta",Presencial,Full time,Data / BI,No especificado,False,False,92
mecánico automotriz - faena nueva victoria,"grandleasing spa, iquique",Presencial,Full time,Otros,No especificado,False,False,92
mecánico mantención - cartagena,"migrin, san antonio",Presencial,Full time,Otros,No especificado,False,False,88
mecánico mantenimiento mina,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,36
medicos especialistas,"clinica juan bosco, santiago",Presencial,Full time,Salud,No especificado,False,False,91
machine learning engineer - área digital business,grafton s.a.c,Presencial,Full time,Data / BI,No especificado,True,False,153
machine learning engineer – área digital business,grafton s.a.c,Presencial,Full time,Data / BI,No especificado,True,False,153
machine learning engineer,stefanini latam,Presencial,Full time,Data / BI,No especificado,True,False,112
maestro calderero,"confidencial, puerto montt",Presencial,Full time,Otros,No especificado,False,False,118
maestro construcción,"metel ingeniería, santiago",Presencial,Full time,Otros,No especificado,False,False,93
maestro mecánico copiapó con residencia en…,"táctica hr, copiapó",Presencial,Full time,Data / BI,No especificado,False,False,102
maestro(a) de cocina,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
manipulador o manipuladora de alimento - ip irc de coquimbo - prs n° 8 (la serena),corfo,Presencial,Full time,Otros,No especificado,False,False,153
mantenedor de planta,mantenedor de planta,Presencial,Full time,Otros,No especificado,False,False,83
martech analyst,tenpo,Presencial,Full time,Otros,No especificado,False,False,82
marketing analyst,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,137
marketing automation manager,no especificada,Remoto,Full time,Otros,No especificado,False,True,24
marketing digital (creación de contenido),empresa destacada,Híbrido,Full time,Otros,No especificado,True,False,32
marketing digital y ecommerce,empresa destacada,Presencial,Full time,Otros,No especificado,True,False,32
marketing y desarrollo comercial,kumelkan ingenieria y servicios spa,Presencial,Full time,Ventas / Comercial,No especificado,False,False,146
mayordomo condominio,"condominio gran oceano, valparaíso",Presencial,Full time,Otros,No especificado,False,False,98
mecánico 7x7 calama,"empresa de servicio a.., calama",Presencial,Full time,Otros,No especificado,False,False,94
mecánico industrial- san bernardo,"talents, santiago",Presencial,Full time,Otros,No especificado,False,False,99
mecánico senior (transporte),empresa confidencial,Presencial,Otro,Otros,Senior,False,False,138
mecánico segunda con residencia en taltal,"táctica hr, antofagasta",Presencial,Full time,Data / BI,No especificado,False,False,99
mecánicos minería palas y equipos caex,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
mecánicos palas komatsu minería en atacama,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
mecánicos/eléctrico palas mineria calama,empresa destacada,Presencial,Full time,Data / BI,No especificado,False,False,30
mediador(a) - direccion regional valdivia - región de los rios prs: n 08 2026,energia,Presencial,Full time,Data / BI,No especificado,False,False,153
medico anestesista 28 horas,"hospital de urgencias, santiago",Presencial,Full time,Salud,No especificado,False,False,93
medico contralor compin (la serena),corfo,Presencial,Full time,Salud,No especificado,False,False,124
mentor de ventas - seguros de vida y salud,empresa destacada,Presencial,Full time,Salud,No especificado,True,False,28
mercaderista volante de licores full time (reemplazo vacaciones) (la serena),comercial portia,Presencial,Full time,TI General,No especificado,False,False,153
mesa de ayuda (ti) 3 meses,mesa de ayuda (ti) 3 meses,Remoto,Full time,Otros,No especificado,False,True,153
modelador bim - proyectos mineros - rm,flesan minería,Presencial,Otro,Otros,No especificado,False,False,146
monitor de gps flota de buses,transportes rioja ltda.,Presencial,Otro,Otros,No especificado,False,False,138
mucama,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,30
médico - centro coyhaique achs salud,asociación chilena de seguridad achs,Presencial,Otro,Salud,No especificado,False,False,140
"médico - centro ovalle achs salud media jornada tarde (19,5hrs semanales)",achs,Presencial,Part time,Data / BI,No especificado,False,False,144
médico cirujano - arica,"importante clínica, arica",Presencial,Full time,Otros,No especificado,False,False,106
médico contralor – licencias médicas (coquimbo),corfo,Presencial,Full time,Otros,No especificado,False,False,148
médico/a general aps 7x7 – zona…,"support consulting, santiago",Presencial,Full time,Otros,No especificado,False,False,100
necesito cajero atencion cliente tienda informatica,necesito cajero atencion cliente tienda informatica,Presencial,Full time,TI General,No especificado,True,False,144
necesito ing informático,11714705-3,Presencial,Full time,Otros,No especificado,True,False,101
no especificado,afp modelo,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,adinfluence,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,adinfluence,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,alsea colombia,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,alsea colombia,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,alsea colombia,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,arcoprime,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,arcor,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,avla,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,beiersdorf,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,belcorp,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,betterfly,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,ccu,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,carvuk,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,carvuk,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,casa nativa,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,cencosud,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,cial alimentos,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,coca-cola andina,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,coca-cola andina,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,confidencial,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,confidencial,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,copec s.a,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,copec s.a,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,enaex,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,entel perú,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,esmax,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,esmax,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,fid seguros,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,finterra,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,forus,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,grupo lagos,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,hdi seguros,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,hanseatic global terminals latin america,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,hanseatic global terminals latin america,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,hatch,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,huawei,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,isidora23,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,kpmg chile,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,kpmg chile,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,keirón,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,kiosclub,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,kiosclub,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,l'oréal,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,midea carrier,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,midea carrier,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,murex chile,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,murex chile,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,nestlé,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,no especificada,Híbrido,Otro,Otros,No especificado,False,False,24
no especificado,no especificada,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,no especificada,Presencial,Otro,Otros,No especificado,False,False,24
no especificado,no especificada,Remoto,Otro,Otros,No especificado,False,True,24
no especificado,pacasmayo,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,polpaico soluciones,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,prosegur,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,puig,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,puig,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,ripley perú,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,ripley chile,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,rosen,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,smu s.a,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,sura,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,salcobrand,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,soprole,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,tanner,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,terra nova tech,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,transbank s.a,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,tresmontes lucchetti,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,unilever colombia,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,unilever colombia,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,unilever colombia,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,vspt wine group,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,vspt wine group,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,verken,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,walmart,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,watt's,No especificada,Full time,Otros,No especificado,False,False,24
no especificado,watt's,Presencial,Full time,Otros,No especificado,False,False,24
no especificado,wherex colombia,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,wild foods,Híbrido,Full time,Otros,No especificado,False,False,24
no especificado,zurich,Híbrido,Full time,Otros,No especificado,False,False,24
oferta de práctica profesional,"oxmaq spa, los andes",Presencial,Full time,Otros,No especificado,False,False,104
operador camion lubricador),"arriendos del norte, calama",Presencial,Full time,Otros,No especificado,False,False,103
operador de asfalto estacion central,"wts group est spa, santiago",Presencial,Full time,Otros,No especificado,False,False,93
operador de lavado de equipos mineros,"sudap, calama",Presencial,Full time,Otros,No especificado,False,False,104
operador jumbo frontal (avance) ug - coquimbo,"coquimbo, coquimbo",Presencial,Otro,Otros,No especificado,False,False,175
operador logistico,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,32
operario multifuncional antofagasta,"itamarket, antofagasta",Presencial,Full time,Otros,No especificado,False,False,108
operario recepcion y despacho de mercaderias,"transportes ezquerra, valparaíso",Presencial,Part time,Otros,No especificado,False,False,89
operario/a de producción,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operarios de produccion,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
oferta laboral – vendedor@/barista fines de…,"ahora vendo café, santiago",Presencial,Full time,Otros,No especificado,False,False,87
onboarding lead,no especificada,Híbrido,Full time,Otros,Senior,False,False,24
onboarding specialist payroll,no especificada,Híbrido,Full time,Otros,No especificado,False,False,24
"operador cctv para importante hospital, antofagasta 4x4 rotativo.","operador cctv para importante hospital, antofagasta 4x4 rotativo.",Presencial,Full time,Otros,No especificado,False,False,152
operador grúa horquilla (la serena),dimensionadora de maderas y placas,Presencial,Full time,Otros,No especificado,False,False,153
operador informatico,operador informatico,Presencial,Full time,TI General,No especificado,True,False,141
operador logístico (bodega) rubro automotriz $800.000 líquidos y bus/ lun a vie,operador logístico (bodega) rubro automotriz $800.000 líquidos y bus/ lun a vie,Presencial,Full time,Otros,No especificado,False,False,138
operador logístico - chofer clase b,"zona industrial spa, santiago",Presencial,Full time,Otros,No especificado,False,False,95
operador logístico – servicio de administración y operación bodega minería,operador logístico – servicio de administración y operación bodega minería,Presencial,Full time,Otros,No especificado,False,False,145
operador logístico-antofagasta,salfa salinas y fabres s.a.,Presencial,Otro,Otros,No especificado,False,False,136
operador mantenedor - rancagua (perfil electrico - electricista - mecánico),empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,197
operador mantenedor eléctrico,"michelin msmr, antofagasta",Presencial,Full time,Otros,No especificado,False,False,109
operador moneda extranjera - gerencia de finanzas,consorcio,Presencial,Otro,Data / BI,No especificado,False,False,164
operador seguridad cctv- monticello,dreams chile,Presencial,Otro,Otros,No especificado,True,False,143
operador data center,operador data center,Presencial,Full time,Data / BI,No especificado,True,False,98
operador de data center por reemplazo extendido $760.000 liquidos,operador de data center por reemplazo extendido $760.000 liquidos,Presencial,Full time,Data / BI,No especificado,True,False,137
operador de equipos – servicio de administración y operación bodega minería,operador de equipos – servicio de administración y operación bodega minería,Presencial,Full time,Otros,No especificado,False,False,146
operador de mantenimiento de frio en puerto varas,humannet,Presencial,Full time,Otros,No especificado,False,False,153
operador de monitoreo cctv y alarmas,"servicios industriales sistemica, punta arenas",Presencial,Full time,Otros,No especificado,False,False,113
operador de producción rx,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operador de producción,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operador de traslados am,achs servicios,Presencial,Full time,Otros,No especificado,False,False,197
operador logístico,empresa metalmecánica,Presencial,Full time,Otros,No especificado,False,False,98
"operador/a de computadoras,art 22, falabella plaza vespucio",falabella,Presencial,Full time,Otros,No especificado,False,False,153
operador/a de informática antofagasta,ripley,Presencial,Full time,Otros,No especificado,True,False,121
operario bodega,"distribuidora de alimentos, concepción",Presencial,Full time,Otros,No especificado,False,False,102
operario control de ingreso/ renca,operario control de ingreso/ renca,Presencial,Full time,Otros,No especificado,False,False,124
operario junior bodega,"confidencial, santiago",Presencial,Full time,Otros,Junior,False,False,83
operario logística (minería) - chañaral,empresa confidencial,Presencial,Otro,Otros,No especificado,False,False,128
operario de bodega y molienda,"exportadora de mostos y.., san felipe",Presencial,Full time,Otros,No especificado,False,False,96
operario de bodega,"sokobox, santiago",Presencial,Full time,Otros,No especificado,False,False,83
operario de grua horquilla / punta arenas / lunes a viernes,operario de grua horquilla / punta arenas / lunes a viernes,Presencial,Full time,Otros,No especificado,False,False,142
operario de logística,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,32
operario de obras viales – instalación…,"igual spa, santiago",Presencial,Full time,Ingenieria Civil,No especificado,False,False,93
operario de produccion,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operario de producción envasado,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operario de producción,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operario de bodega - quilicura,"labor service, santiago",Presencial,Full time,Otros,No especificado,False,False,83
operario de guardarropía - mall plaza…,"lyon, santiago",Presencial,Full time,Otros,No especificado,False,False,89
operario de producción,"mersen chile ltda, santiago",Presencial,Full time,Otros,No especificado,False,False,127
"operario/a producción, plantas productivas",empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operario/a de producción industrial,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,33
operario/a de bodega rubro automotriz $800.000,operario/a de bodega rubro automotriz $800.000,Presencial,Full time,Otros,No especificado,False,False,114
operarios de bodega urgente!!,"growing, santiago",Presencial,Full time,Otros,No especificado,False,False,95
operarios de bodega,"mecva, santiago",Presencial,Full time,Otros,No especificado,False,False,104
operations & customer success analyst,no especificada,Remoto,Full time,Otros,No especificado,False,True,24
operativo tienda sodimac hc la serena balmaceda jornada pt20,sodimac chile,Presencial,Full time,TI General,No especificado,False,False,153
otras ocupaciones,confidencial,Presencial,Full time,Otros,No especificado,False,False,95
personal contable para area de tesorería,"empresa automotriz, santiago",Presencial,Full time,Otros,No especificado,False,False,88
pictor busca publicista creativo/a,"pictor, santiago",Presencial,Full time,Otros,No especificado,False,False,110
pm de it e implementación | ingeniero informático,industrial,Presencial,Full time,Otros,No especificado,True,False,143
pmo quality intern,sungrow,Híbrido,Full time,QA / Testing,Junior,False,False,197
practica administracion,ucv,Presencial,Full time,Otros,No especificado,False,False,85
practica contabilidad,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,35
practica profesional - administración,ucv,Presencial,Full time,Otros,No especificado,False,False,111
practica profesional - ingenieria comercial,empresa destacada,Híbrido,Full time,Data / BI,No especificado,False,False,33
practica profesional - recursos humanos,empresa destacada,Híbrido,Full time,Recursos Humanos,No especificado,False,False,39
practica profesional dubijo técnico - arquitectura,empresa destacada,Presencial,Full time,Otros,No especificado,False,False,35
practica profesional presencial viña del mar,"plastimar ltda, valparaíso",Presencial,Full time,Otros,No especificado,False,False,110
practica profesional técnico nivel medio administracion/contab./rrhh,ingeleco ltda,Presencial,Full time,Recursos Humanos,No especificado,False,False,153
